НАЗАД	
\v0205\x0000Отчет О АНОУНАХ
\v0103ぁ\x0000\x0000	
\v0205\x0000 Число АНОУНОВ	
\v0205\x0000Найдено Видов: \v0133ぁ\x0000\x0000	
\v0205\x0000\v0132ぁ\x0000\x0000/\v0132ぁ\x0001\x0000	
В руинах найдена странная\nголоволомка. Она была решена\nи затем я начинаю падать в\nкомнату снизу! Стоило\nдогадаться, что в руинах\nбудут такие ловушки.
На месте моего падения была\nкаменная статуя. Этот зал,\nвозможно, был нужен для приема\nгостей. После этого, появились\nАНУОНЫ. Возмжно, головоломка\nстала этому причиной. АНУОНЫ\nпробудились. В руинах стало\nтруднее.
Если в руинах включить радио,\nможно принять загадочные\nрадиосигналы! Это доказывает,\nчто АНОУНЫ общаются друг с\nдругом радиоволнами!
АНОУНОВ столько же, сколько\nбукв в английском алфавите.\nСейчас найдено 26 видов\nАНОУНОВ. Вероятно, можно\nнайти все 26 видов?
По отдельности они ничего не\nзначат, но отсортировав\nАНОУНОВ по порядку, в них\nпоявляется смысл. Обычно они\nразбросаны случайно, но на\nсамом деле, их порядок имеет\nсмысл.	
В этом отчете, АНОУНЫ были\nотсортированы персоналом\nисследовательского центра.\nТак АНОУНОВ гораздо проще\nпонять.
На полу руин начертаны символы\nАНОУНОВ. Кажется, находка этой\nкоманты - большое открытие!\nИсследователи сгорают от\nнетерпения, поэтому они\nотправятся изучать ее.	
Видов АНОУНОВ не 26.\nОбнаружили еще два вида!\nНо это поднимает вопрос о\nместонахождении этих двух\nвидов...
\v0204\x0001しСимволы, начертанные\nна полу небольшой комнаты\nописаны в этом отчете.
\v0204\x0001ょОÒÏ ÈÏÌЕËÇÐ ÊООК\nÒР АËÇ НЕАÏТÌÊÔ\nСОËÉÏАТÒÊАТЕ ÒÐ\n(НАШИ ДРУЗЬЯ ГЛЯДЯТ\nВВЕРХ И СЕРДЕЧНО\nПОЗДРАВЛЯЮТ НАС)
\v0204\x0001デМы пока еще не знаем,\nчто это может значить.
Исследователи сказали, что им\nнужно снова осмотреть руины,\nно...?
В прошлом, АНОУНЫ жили в этих\nруинах вместе с людьми. На\nнижних этажах руин находится\nстатуя Покемона. Как понятно,\nэти люди и создали статую.
АНОУНЫ очень пугливые создания\nи не выходят за пределы руин.\nДаже если люди действительно\nстали жить близ руин, те, кто\nхотел жить вместе с АНОУНАМИ,\nдавно покинули это место.
АËÉЕÏ (ЗЛОСТЬ)
ВЕАÏ (НОША)
СНАÐЕ (ПОГОНЯ)
ÇÌÏЕСТ (НАПРАВИТЬ)
ЕËÉАÉЕ (ВОВЛЕЧЬ)
ÈÌËÇ (ИСКАТЬ)
ÉÌÑЕ (ДАТЬ)
НЕÊР (ПОМОЩЬ)
ÌËСÏЕАÐЕ (РОСТ)
ÍОÌË (ВСТУПИТЬ)
КЕЕР (ХРАНИТЬ)
ÊАÒÉН (СМЕХ)	
МАКЕ (СОЗДАТЬ)
ËÒÕÕÊЕ (ТКНУТЬ)
ОВÐЕÏÑЕ (НАБЛЮДАТЬ)
РЕÏÈОÏМ (ВЫПОЛНЯТЬ)
ÎÒÌСКЕË (УСКОРИТЬ)
ÏЕАÐÐÒÏЕ (УТЕШИТЬ)
ÐЕАÏСН (ПОИСК)
ТЕÊÊ (СКАЗАТЬ)	
ÒËÇО (ОТМЕНИТЬ)
ÑАËÌÐН (ИСЧЕЗНУТЬ)
ÓАËТ (НУЖДА)
ХХХХХ
ÔÌЕÊÇ (ДОХОД)
ÕООМ (УВЕЛИЧИТЬ)
!!!!!	
?????	
