НАЗАД
\v0205\x0000Отчёт О Аноунах
\v0103ぁ\x0000\x0000
\v0205\x0000 Число Аноунов
\v0205\x0000Найдено Видов: \v0133ぁ\x0000\x0000
\v0205\x0000\v0132ぁ\x0000\x0000/\v0132ぁ\x0001\x0000
В руинах найдена странная\nголоволомка. Она была решена\nи затем я начинаю падать в\nкомнату снизу! Стоило\nдогадаться, что в руинах\nбудут такие ловушки.
На месте моего падения была\nкаменная статуя. Этот зал,\nвозможно, был нужен для приема\nгостей. После этого, появились\nАноуны. Возможно, головоломка\nстала этому причиной. Аноуны\nпробудились. В руинах стало\nтруднее.
Если в руинах включить радио,\nможно принять загадочные\nрадиосигналы! Это доказывает,\nчто Аноуны общаются друг с\nдругом радиоволнами!
Аноунов столько же, сколько\nбукв в английском алфавите.\nСейчас найдено 26 видов\nАноунов. Вероятно, можно\nнайти все 26 видов?
По отдельности они ничего не\nзначат, но отсортировав\nАноунов по порядку, в них\nпоявляется смысл. Обычно они\nразбросаны случайно, но на\nсамом деле, их порядок имеет\nсмысл.
В этом отчете, Аноуны были\nотсортированы персоналом\nисследовательского центра.\nТак Аноунов гораздо проще\nпонять.
На полу руин начертаны символы\nАноунов. Кажется, находка этой\nкоманты - большое открытие!\nИсследователи сгорают от\nнетерпения, поэтому они\nотправятся изучать её.
Видов Аноунов не 26.\nОбнаружили еще два вида!\nНо это поднимает вопрос о\nместонахождении этих двух\nвидов...
\v0204\x0001しСимволы, начертанные\nна полу небольшой комнаты\nописаны в этом отчете.
\v0204\x0001ょОÒÏ ÈÏÌЕËÇÐ ÊООК\nÒР АËÇ НЕАÏТÌÊÔ\nСОËÉÏАТÒÊАТЕ ÒÐ\n(НАШИ ДРУЗЬЯ ГЛЯДЯТ\nВВЕРХ И СЕРДЕЧНО\nПОЗДРАВЛЯЮТ НАС)
\v0204\x0001デМы пока ещё не знаем,\nчто это может значить.
Исследователи сказали, что им\nнужно снова осмотреть руины,\nно?..
В прошлом, Аноуны жили в этих\nруинах вместе с людьми. На\nнижних этажах руин находится\nстатуя Покемона. Как понятно,\nэти люди и создали статую.
Аноуны очень пугливые создания\nи не выходят за пределы руин.\nДаже если люди действительно\nстали жить близ руин, те, кто\nхотел жить вместе с Аноунами,\nдавно покинули это место.
АËÉЕÏ (ЗЛОСТЬ)
ВЕАÏ (НОША)
СНАÐЕ (ПОГОНЯ)
ÇÌÏЕСТ (НАПРАВИТЬ)
ЕËÉАÉЕ (ВОВЛЕЧЬ)
ÈÌËÇ (ИСКАТЬ)
ÉÌÑЕ (ДАТЬ)
НЕÊР (ПОМОЩЬ)
ÌËСÏЕАÐЕ (РОСТ)
ÍОÌË (ВСТУПИТЬ)
КЕЕР (ХРАНИТЬ)
ÊАÒÉН (СМЕХ)
МАКЕ (СОЗДАТЬ)
ËÒÕÕÊЕ (ТКНУТЬ)
ОВÐЕÏÑЕ (НАБЛЮДАТЬ)
РЕÏÈОÏМ (ВЫПОЛНЯТЬ)
ÎÒÌСКЕË (УСКОРИТЬ)
ÏЕАÐÐÒÏЕ (УТЕШИТЬ)
ÐЕАÏСН (ПОИСК)
ТЕÊÊ (СКАЗАТЬ)
ÒËÇО (ОТМЕНИТЬ)
ÑАËÌÐН (ИСЧЕЗНУТЬ)
ÓАËТ (НУЖДА)
ХХХХХ
ÔÌЕÊÇ (ДОХОД)
ÕООМ (УВЕЛИЧИТЬ)
!!!!!
?????
