NAHAE
\v0205\x0000Osxfs O ANOTNAV
\v0103ぁ\x0000\x0000	
\v0205\x0000 Xirlo ANOTNOC	
\v0205\x0000Najefno Cieoc: \v0133ぁ\x0000\x0000	
\v0205\x0000\v0132ぁ\x0000\x0000/\v0132ぁ\x0001\x0000	
C qtinav najefna rsqannaå\ndolocolomka. Ona bála qfyfna\ni hasfm å naxinaä paeasâ c\nkomnast rniht! Rsoilo\neodaeasârå, xso c qtinav\nbtets sakif loctyki.
Na mfrsf mofdo paefniå bála\nkamfnnaå rsastå. Ãsos hal,\ncohmogno, bál ntgfn elå pqifma\ndorsfj. Porlf ãsodo, poåcilirâ\nANTONÁ. Cohmgno, dolocolomka\nrsala ãsomt pqixinoj. ANTONÁ\npqobteilirâ. C qtinav rsalo\nsqtenff.
Frli c qtinav ckläxisâ qaeio,\nmogno pqinåsâ hadaeoxnáf\nqaeioridnalá! Ãso eokahácafs,\nxso ANOTNÁ obzaäsrå eqtd r\neqtdom qaeiocolnami!
ANOTNOC rsolâko gf, rkolâko\nbtkc c andlijrkom aluacisf.\nRfjxar najefno 26 cieoc\nANOTNOC. Cfqoåsno, mogno\nnajsi crf 26 cieoc?
Po oseflânorsi oni nixfdo nf\nhnaxas, no osroqsiqocac\nANOTNOC po poqåekt, c niv\npoåclåfsrå rmárl. Obáxno oni\nqahbqoraná rltxajno, no na\nramom eflf, iv poqåeok imffs\nrmárl.	
C ãsom osxfsf, ANOTNÁ báli\nosroqsiqocaná pfqronalom\nirrlfeocasflârkodo wfnsqa.\nSak ANOTNOC doqaheo pqozf\nponåsâ.
Na polt qtin naxfqsaná rimcolá\nANOTNOC. Kagfsrå, navoeka ãsoj\nkomansá - bolâyof oskqásif!\nIrrlfeocasfli rdoqaäs os\nnfsfqpfniå, poãsomt oni\nospqacåsrå ihtxasâ ff.	
Cieoc ANOTNOC nf 26.\nObnaqtgili fzf eca ciea!\nNo ãso poenimafs copqor o\nmfrsonavogefnii ãsiv ectv\ncieoc...
\v0204\x0001しRimcolá, naxfqsannáf\nna polt nfbolâyoj komnasá\nopiraná c ãsom osxfsf.
\v0204\x0001ょOÒÏ ÈÏÌFËÇÐ ÊOOK\nÒQ AËÇ NFAÏSÌÊÔ\nROËÉÏASÒÊASF ÒÐ\n(NAYI EQTHÂÅ DLÅEÅS\nCCFQV I RFQEFXNO\nPOHEQACLÅÄS NAR)
\v0204\x0001デMá poka fzf nf hnafm,\nxso ãso mogfs hnaxisâ.
Irrlfeocasfli rkahali, xso im\nntgno rnoca ormosqfsâ qtiná,\nno...?
C pqoylom, ANOTNÁ gili c ãsiv\nqtinav cmfrsf r läeâmi. Na\nnigniv ãsagav qtin navoeisrå\nrsastå Pokfmona. Kak ponåsno,\nãsi läei i roheali rsastä.
ANOTNÁ oxfnâ ptdlicáf roheaniå\ni nf cávoeås ha pqfeflá qtin.\nEagf frli läei efjrscisflâno\nrsali gisâ blih qtin, sf, kso\nvosfl gisâ cmfrsf r ANOTNAMI,\neacno pokintli ãso mfrso.
AËÉFÏ (HLORSÂ)
CFAÏ (NOYA)
RNAÐF (PODONÅ)
ÇÌÏFRS (NAPQACISÂ)
FËÉAÉF (COCLFXÂ)
ÈÌËÇ (IRKASÂ)
ÉÌÑF (EASÂ)
NFÊQ (POMOZÂ)
ÌËRÏFAÐF (QORS)
ÍOÌË (CRSTPISÂ)
KFFQ (VQANISÂ)
ÊAÒÉN (RMFV)	
MAKF (ROHEASÂ)
ËÒÕÕÊF (SKNTSÂ)
OCÐFÏÑF (NABLÄEASÂ)
QFÏÈOÏM (CÁPOLNÅSÂ)
ÎÒÌRKFË (TRKOQISÂ)
ÏFAÐÐÒÏF (TSFYISÂ)
ÐFAÏRN (POIRK)
SFÊÊ (RKAHASÂ)	
ÒËÇO (OSMFNISÂ)
ÑAËÌÐN (IRXFHNTSÂ)
ÓAËS (NTGEA)
VVVVV
ÔÌFÊÇ (EOVOE)
ÕOOM (TCFLIXISÂ)
!!!!!	
?????	
